Brand,Variety,Style,Country,Stars,Country / Region,2014,2015,2016,2017,2018
New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,Taiwan,710,680,770,820,830
Nissin,Cup Noodles Chicken Vegetable,Cup,United States,2.25,USA,"4,280","4,080","4,100","4,130","4,400"
Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,Taiwan,710,680,770,820,830
Ching's Secret,Singapore Curry,Pack,India,3.75,India,"5,340","3,260","4,270","5,420","6,060"
Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,Japan,"5,500","5,540","5,660","5,660","5,780"
KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,Singapore,130,130,130,130,130
Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Yamachan,Yokohama Tonkotsu Shoyu,Pack,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,China/Hong Kong,5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
KOKA,Mushroom Flavour Instant Noodles,Cup,Singapore,3.5,Singapore,130,130,130,130,130
TRDP,Mario Masala Noodles,Pack,India,3.75,India,"5,340","3,260","4,270","5,420","6,060"
Yamachan,Tokyo Shoyu Ramen,Pack,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Binh Tay,Mi Hai Cua,Pack,Vietnam,4,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
Paldo,Premium Gomtang,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Cup Noodles Laksa Flavour,Cup,China/Hong Kong,4.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Jackpot Teriyaki,Beef Ramen,Pack,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,5,Singapore,130,130,130,130,130
Yamachan,Sapporo Miso Ramen,Pack,United States,4.75,USA,"4,280","4,080","4,100","4,130","4,400"
Ching's Secret,Hot Garlic Instant Noodles,Pack,India,4.25,India,"5,340","3,260","4,270","5,420","6,060"
Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,Japan,"5,500","5,540","5,660","5,660","5,780"
MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,Singapore,130,130,130,130,130
Samyang Foods,Paegaejang Ramen,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Ottogi,Plain Instant Noodle No Soup Included,Pack,South Korea,Unrated,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5,Singapore,130,130,130,130,130
Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,United States,1.5,USA,"4,280","4,080","4,100","4,130","4,400"
KOKA,Curry Flavour Instant Noodles,Cup,Singapore,5,Singapore,130,130,130,130,130
Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,Taiwan,710,680,770,820,830
Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5,Singapore,130,130,130,130,130
Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Nongshim,Shin Ramyun Black,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Uni-President,Pickled Cabbage Beef,Pack,China/Hong Kong,4.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,2,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5,Singapore,130,130,130,130,130
Uni-President,Mushroom Flavor,Pack,Vietnam,0,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Sokensha,Curry Udon,Pack,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Straits Reborn Laksa,Pack,Singapore,5,Singapore,130,130,130,130,130
Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,Singapore,130,130,130,130,130
Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5,Singapore,130,130,130,130,130
Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samurai Ramen,Umami Ramen,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5,Taiwan,710,680,770,820,830
Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,United States,3.5,USA,"4,280","4,080","4,100","4,130","4,400"
Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,Taiwan,710,680,770,820,830
Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5,India,"5,340","3,260","4,270","5,420","6,060"
Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,Singapore,130,130,130,130,130
Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nongshim,Shin Ramyun,Pack,South Korea,3,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China/Hong Kong,0,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Indomie,Onion Chicken Flavor,Pack,Nigeria,1.5,Nigeria,"1,520","1,540","1,650","1,760","1,820"
Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,Taiwan,710,680,770,820,830
The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5,Singapore,130,130,130,130,130
Nissin,Demae Ramen Spicy Beef,Pack,Germany,3.75,Germany,180,190,200,200,200
Nissin,Cup Noodles Spicy,Cup,Germany,3.75,Germany,180,190,200,200,200
Nissin,Soba Thai,Pack,Germany,4.5,Germany,180,190,200,200,200
Nissin,Cup Noodles Huhn (Chicken),Cup,Germany,3.75,Germany,180,190,200,200,200
Nissin,Demae Ramen Korean Kimchi,Pack,Germany,3.5,Germany,180,190,200,200,200
Nissin,Cup Noodles Curry,Cup,Germany,3.75,Germany,180,190,200,200,200
Nissin,Smack Chili,Pack,Hungary,3.75,Hungary,20,20,30,30,30
Nissin,Soba Yakitori Chicken,Cup,Germany,5,Germany,180,190,200,200,200
Nissin,Demae Ramen Garlic Chicken,Pack,Germany,3.5,Germany,180,190,200,200,200
Nissin,Cup Noodles Ente (Duck),Cup,Germany,3,Germany,180,190,200,200,200
Nissin,Demae Ramen Thai Tom Yum,Pack,Germany,3.75,Germany,180,190,200,200,200
Nissin,Soba Sukiyaki Beef,Cup,Germany,4.5,Germany,180,190,200,200,200
Nissin,Demae Ramen Spicy,Pack,Germany,3.5,Germany,180,190,200,200,200
Nissin,Cup Noodles Shrimps,Cup,Germany,3,Germany,180,190,200,200,200
Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4,Germany,180,190,200,200,200
Paldo,Bul Jjamppong,Bowl,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,Taiwan,710,680,770,820,830
Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Acecook,Pork Wantan Men,Bowl,Japan,4.25,Japan,"5,500","5,540","5,660","5,660","5,780"
E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5,Taiwan,710,680,770,820,830
Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5,Taiwan,710,680,770,820,830
Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2,Japan,"5,500","5,540","5,660","5,660","5,780"
GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,Taiwan,710,680,770,820,830
Nissin,Cup Noodles Mini Seafood Flavour,Cup,China/Hong Kong,5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,3.5,Singapore,130,130,130,130,130
Acecook,Dossari Yasai Chanpon,Cup,Japan,4.25,Japan,"5,500","5,540","5,660","5,660","5,780"
Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Cup Noodles XO Sauce Seafood,Cup,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,Indonesia,"13,430","13,200","13,010","12,620","12,540"
TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5,Taiwan,710,680,770,820,830
Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Daifuku,Katsuo Bowl Udon,Bowl,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Samyang Foods,Sari Ramen,Pack,South Korea,Unrated,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,Singapore,130,130,130,130,130
KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,Singapore,130,130,130,130,130
KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5,Singapore,130,130,130,130,130
KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,Singapore,130,130,130,130,130
KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,Singapore,130,130,130,130,130
KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5,Singapore,130,130,130,130,130
KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5,Singapore,130,130,130,130,130
KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4,Singapore,130,130,130,130,130
KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5,Singapore,130,130,130,130,130
KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5,Singapore,130,130,130,130,130
KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3,Singapore,130,130,130,130,130
KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5,Singapore,130,130,130,130,130
KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,Singapore,130,130,130,130,130
KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5,Singapore,130,130,130,130,130
KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75,Singapore,130,130,130,130,130
Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5,Mexico,900,850,890,960,"1,180"
MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Master Kong,Roasted Pork Noodle,Pack,China/Hong Kong,4.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5,Taiwan,710,680,770,820,830
World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,China/Hong Kong,4.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,Taiwan,710,680,770,820,830
Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5,Taiwan,710,680,770,820,830
Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,United States,0,USA,"4,280","4,080","4,100","4,130","4,400"
Nissin,Seafood Flavour Rice Vermicelli,Cup,China/Hong Kong,5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,Taiwan,710,680,770,820,830
Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,3.25,Mexico,900,850,890,960,"1,180"
Uni-President,Baseball Snack Noodle,Pack,Taiwan,5,Taiwan,710,680,770,820,830
Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
MyKuali,Penang Red Tom Yum Goong,Box,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Xiuhe,Hot & Sour Beef Noodles,Bowl,China/Hong Kong,4.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5,Taiwan,710,680,770,820,830
Nissin,Cup Noodles Beef Flavour,Cup,China/Hong Kong,2.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,United States,3.25,USA,"4,280","4,080","4,100","4,130","4,400"
Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,United States,3.5,USA,"4,280","4,080","4,100","4,130","4,400"
Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,Taiwan,710,680,770,820,830
Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China/Hong Kong,0.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Cup Noodles Mini Spicy Seafood,Cup,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5,Singapore,130,130,130,130,130
Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,United States,4.75,USA,"4,280","4,080","4,100","4,130","4,400"
Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,India,"5,340","3,260","4,270","5,420","6,060"
Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China/Hong Kong,5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5,Singapore,130,130,130,130,130
Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China/Hong Kong,1,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Master Kong,Chicken Flavor Instant Noolde,Pack,China/Hong Kong,4.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Cup Noodles Prawn Flavour,Cup,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3,Japan,"5,500","5,540","5,660","5,660","5,780"
MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Gefen,Imitation Chicken Flavor,Cup,United States,4,USA,"4,280","4,080","4,100","4,130","4,400"
Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China/Hong Kong,4.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,China/Hong Kong,3.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,Taiwan,710,680,770,820,830
Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China/Hong Kong,4.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,United States,3.5,USA,"4,280","4,080","4,100","4,130","4,400"
Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,China/Hong Kong,4.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,United States,2.5,USA,"4,280","4,080","4,100","4,130","4,400"
Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,China/Hong Kong,4.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,Thailand,"3,070","3,070","3,360","3,390","3,460"
Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5,Taiwan,710,680,770,820,830
World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5,India,"5,340","3,260","4,270","5,420","6,060"
Liu Quan,Instant Spicy Rice Noodle,Bowl,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Daikoku,Tanuki Soba,Cup,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,China/Hong Kong,5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,2,India,"5,340","3,260","4,270","5,420","6,060"
Daikoku,Kitsune Udon,Cup,Japan,2,Japan,"5,500","5,540","5,660","5,660","5,780"
Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,China/Hong Kong,5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
